,Player,Match,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot
90,SP Narine,ipl2023_47,1,1,2,1,1.0,50.0,1,0,0,0,0,50.0
91,SP Narine,ipl2023_56,1,6,5,1,6.0,120.0,6,0,0,1,0,40.0
92,SP Narine,ipl2023_68,1,1,2,1,1.0,50.0,1,0,0,0,0,50.0
93,SP Narine,ipl2024_03,1,2,4,0,-,50.0,2,0,0,0,0,50.0
94,SP Narine,ipl2024_10,1,47,22,1,47.0,213.6,47,0,0,2,5,40.9
95,SP Narine,ipl2024_16,1,85,39,1,85.0,217.9,85,1,0,7,7,30.8
96,SP Narine,ipl2024_22,1,27,20,1,27.0,135.0,27,0,0,3,2,60.0
97,SP Narine,ipl2024_28,1,6,6,1,6.0,100.0,6,0,0,1,0,66.7
98,SP Narine,ipl2024_31,1,109,56,1,109.0,194.6,109,0,1,13,6,32.1
1,RM Patidar,ipl2021_01,1,8,8,1,8.0,100.0,8,0,0,1,0,50.0
2,RM Patidar,ipl2021_10,1,1,2,1,1.0,50.0,1,0,0,0,0,50.0
3,RM Patidar,ipl2021_22,1,31,22,1,31.0,140.9,31,0,0,0,2,13.6
4,RM Patidar,ipl2021_26,1,31,30,1,31.0,103.3,31,0,0,2,1,36.7
5,RM Patidar,ipl2022_39,1,16,16,1,16.0,100.0,16,0,0,0,1,43.8
6,RM Patidar,ipl2022_43,1,52,32,1,52.0,162.5,52,1,0,5,2,28.1
7,RM Patidar,ipl2022_49,1,21,15,1,21.0,140.0,21,0,0,1,1,20.0
8,RM Patidar,ipl2022_54,1,48,38,1,48.0,126.3,48,0,0,4,2,36.8
9,RM Patidar,ipl2022_60,1,26,21,1,26.0,123.8,26,0,0,1,2,47.6
10,RM Patidar,ipl2022_72,1,112,54,0,-,207.4,112,0,1,12,7,27.8
11,RM Patidar,ipl2022_73,1,58,42,1,58.0,138.1,58,1,0,4,3,31.0
12,RM Patidar,ipl2024_01,1,0,3,1,0.0,0.0,0,0,0,0,0,100.0
13,RM Patidar,ipl2024_06,1,18,18,1,18.0,100.0,18,0,0,1,1,50.0
14,RM Patidar,ipl2024_10,1,3,4,1,3.0,75.0,3,0,0,0,0,25.0
15,RM Patidar,ipl2024_15,1,29,21,1,29.0,138.1,29,0,0,2,2,38.1
16,RM Patidar,ipl2024_25,1,50,26,1,50.0,192.3,50,1,0,3,4,30.8
17,RM Patidar,ipl2024_30,1,9,5,1,9.0,180.0,9,0,0,0,1,40.0
1,CV Varun,ipl2020_21,1,1,1,1,1.0,100.0,1,0,0,0,0,0.0
2,CV Varun,ipl2020_28,1,7,10,0,-,70.0,7,0,0,0,0,40.0
3,CV Varun,ipl2020_46,1,2,4,1,2.0,50.0,2,0,0,0,0,50.0
4,CV Varun,ipl2021_10,1,2,3,0,-,66.7,2,0,0,0,0,33.3
5,CV Varun,ipl2021_15,1,0,1,0,-,0.0,0,0,0,0,0,100.0
6,CV Varun,ipl2022_06,1,10,16,0,-,62.5,10,0,0,2,0,75.0
7,CV Varun,ipl2022_19,1,1,1,0,-,100.0,1,0,0,0,0,0.0
8,CV Varun,ipl2022_30,1,1,1,0,-,100.0,1,0,0,0,0,0.0
9,CV Varun,ipl2023_28,1,1,6,0,-,16.7,1,0,0,0,0,83.3
10,CV Varun,ipl2023_33,1,0,3,0,-,0.0,0,0,0,0,0,100.0
