,Player,Match,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,
30,CV Varun,ipl2021_59,1,4.0,26,2,6.50,13.0,12.0,0,2/26,2,0,33.3
31,CV Varun,ipl2021_60,1,4.0,38,0,9.50,-,-,0,0/38,2,2,25.0
32,CV Varun,ipl2022_01,1,4.0,23,1,5.75,23.0,24.0,0,1/23,1,1,50.0
33,CV Varun,ipl2022_06,1,4.0,33,1,8.25,33.0,24.0,0,1/33,3,2,50.0
34,CV Varun,ipl2022_08,1,4.0,14,0,3.50,-,-,0,0/14,0,0,66.7
35,CV Varun,ipl2022_14,1,4.0,32,1,8.00,32.0,24.0,0,1/32,2,2,33.3
36,CV Varun,ipl2022_19,1,4.0,44,1,11.00,44.0,24.0,0,1/44,3,3,37.5
37,CV Varun,ipl2022_25,1,3.0,45,0,15.00,-,-,0,0/45,3,4,11.1
38,CV Varun,ipl2022_30,1,2.0,30,0,15.00,-,-,0,0/30,1,2,16.7
39,CV Varun,ipl2022_35,1,3.0,26,0,8.67,-,-,0,0/26,1,1,38.9
40,CV Varun,ipl2022_56,1,3.0,22,1,7.33,22.0,18.0,0,1/22,1,1,33.3
41,CV Varun,ipl2022_61,1,4.0,25,1,6.25,25.0,24.0,0,1/25,1,2,58.3
42,CV Varun,ipl2022_66,1,4.0,38,0,9.50,-,-,0,0/38,3,2,37.5
43,CV Varun,ipl2023_02,1,4.0,26,1,6.50,26.0,24.0,0,1/26,2,1,45.8
44,CV Varun,ipl2023_09,1,3.4,15,4,4.09,3.8,5.5,0,4/15,2,0,59.1
45,CV Varun,ipl2023_13,1,2.0,27,0,13.50,-,-,0,0/27,2,1,16.7
46,CV Varun,ipl2023_19,1,4.0,41,1,10.25,41.0,24.0,0,1/41,3,2,20.8
47,CV Varun,ipl2023_22,1,4.0,38,1,9.50,38.0,24.0,0,1/38,2,3,45.8
48,CV Varun,ipl2023_28,1,4.0,16,2,4.00,8.0,12.0,0,2/16,2,0,58.3
49,CV Varun,ipl2023_33,1,4.0,49,1,12.25,49.0,24.0,0,1/49,2,5,33.3
50,CV Varun,ipl2023_36,1,4.0,27,3,6.75,9.0,8.0,0,3/27,2,1,37.5
51,CV Varun,ipl2023_39,1,4.0,42,0,10.50,-,-,0,0/42,3,3,29.2
52,CV Varun,ipl2023_47,1,4.0,20,1,5.00,20.0,24.0,0,1/20,2,0,50.0
53,CV Varun,ipl2023_53,1,4.0,26,3,6.50,8.7,8.0,0,3/26,2,1,50.0
54,CV Varun,ipl2023_56,1,3.0,28,0,9.33,-,-,0,0/28,3,2,61.1
55,CV Varun,ipl2023_61,1,4.0,36,2,9.00,18.0,12.0,0,2/36,2,1,25.0
56,CV Varun,ipl2023_68,1,4.0,38,1,9.50,38.0,24.0,0,1/38,4,2,41.7
57,CV Varun,ipl2024_03,1,4.0,55,1,13.75,55.0,24.0,0,1/55,1,7,33.3
58,CV Varun,ipl2024_10,1,2.0,20,0,10.00,-,-,0,0/20,2,1,25.0
59,CV Varun,ipl2024_16,1,4.0,33,3,8.25,11.0,8.0,0,3/33,2,2,54.2
60,CV Varun,ipl2024_22,1,4.0,26,0,6.50,-,-,0,0/26,0,2,45.8
61,CV Varun,ipl2024_28,1,4.0,30,1,7.50,30.0,24.0,0,1/30,1,2,45.8
62,CV Varun,ipl2024_31,1,4.0,36,2,9.00,18.0,12.0,0,2/36,5,1,50.0
